epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8356,1.28042,1.15178,1.21557,0.79764,0.73621,0.80862,0.51034,1.17166,1.00723,1.16816,0.000554459,0.000554459,0.000554459
2,143.326,1.26962,0.99897,1.19748,0.82676,0.75242,0.83216,0.54221,1.18034,0.87847,1.17842,0.00105517,0.00105517,0.00105517
3,212.065,1.24036,0.96543,1.18461,0.84409,0.75913,0.85368,0.5508,1.16666,0.82548,1.15532,0.00150088,0.00150088,0.00150088
4,282.08,1.2141,0.93207,1.17534,0.82922,0.74928,0.8265,0.50232,1.23637,0.97802,1.19839,0.00141945,0.00141945,0.00141945
5,350.098,1.17098,0.87404,1.15372,0.85537,0.81754,0.89362,0.61371,1.06363,0.72481,1.09092,0.00133693,0.00133693,0.00133693
6,418.753,1.12789,0.82105,1.13017,0.84907,0.81347,0.8856,0.62855,1.00974,0.73111,1.07682,0.00125442,0.00125442,0.00125442
7,487.739,1.10544,0.79978,1.11692,0.87763,0.82699,0.90354,0.64732,0.99563,0.66386,1.06387,0.0011719,0.0011719,0.0011719
8,556.343,1.0843,0.77419,1.11003,0.87025,0.84709,0.91263,0.64908,0.99694,0.64234,1.05882,0.00108938,0.00108938,0.00108938
9,624.826,1.06064,0.74045,1.09398,0.89259,0.83854,0.91644,0.66242,0.9686,0.60962,1.0415,0.00100687,0.00100687,0.00100687
10,694.569,1.03685,0.717,1.08306,0.89721,0.87076,0.93205,0.69061,0.90911,0.58057,1.01988,0.000924352,0.000924352,0.000924352
11,761.394,0.97756,0.63012,1.05426,0.89426,0.86797,0.93304,0.68239,0.95197,0.57761,1.03409,0.000841835,0.000841835,0.000841835
12,826.836,0.95521,0.60555,1.04559,0.89897,0.87344,0.93837,0.69773,0.90927,0.56007,1.01936,0.000759318,0.000759318,0.000759318
13,893.983,0.93028,0.58907,1.03184,0.90668,0.8705,0.93941,0.70347,0.89045,0.54549,1.01127,0.000676802,0.000676802,0.000676802
14,959.98,0.89706,0.56735,1.01747,0.91826,0.88043,0.94478,0.72458,0.85083,0.50826,0.99505,0.000594286,0.000594286,0.000594286
15,1025.95,0.88565,0.54666,1.00669,0.90936,0.89171,0.94774,0.72368,0.84981,0.50952,0.99082,0.000511769,0.000511769,0.000511769
16,1091.67,0.85916,0.52193,0.99878,0.9185,0.89099,0.94916,0.72882,0.85105,0.48756,0.98897,0.000429253,0.000429253,0.000429253
17,1158.9,0.84143,0.5074,0.9922,0.91639,0.895,0.95177,0.73419,0.84234,0.48809,0.98602,0.000346736,0.000346736,0.000346736
18,1225.12,0.81813,0.48976,0.98175,0.92505,0.89174,0.95157,0.74243,0.80859,0.47215,0.97578,0.00026422,0.00026422,0.00026422
19,1291.28,0.79777,0.47246,0.96859,0.91936,0.89701,0.95416,0.75063,0.80043,0.4628,0.97096,0.000181703,0.000181703,0.000181703
20,1358.94,0.77751,0.45712,0.96451,0.91778,0.90622,0.95655,0.75536,0.7849,0.44963,0.96289,9.91865e-05,9.91865e-05,9.91865e-05
